qualified_third_groups,74,77,79,80,81,82,85,87
BDEGHIJK,D,G,E,K,B,H,J,I
BDEFIJKL,D,F,E,K,B,I,J,L
BDEFHJKL,D,F,E,K,B,H,J,L
BDEFHIKL,D,F,E,K,B,H,I,L
BDEFHIJL,D,F,E,I,B,H,J,L
BDEFHIJK,D,F,E,K,B,H,J,I
BDEFGJKL,D,F,E,K,B,J,G,L
BDEFGIKL,D,F,E,K,B,I,G,L
BDEFGIJL,D,F,E,I,B,J,G,L
BDEFGIJK,D,F,E,K,B,J,G,I
BDEFGHKL,D,F,E,K,B,H,G,L
BDEFGHJL,D,F,H,E,B,J,G,L
BDEFGHJK,D,F,H,K,B,J,G,E
BDEFGHIL,D,F,E,I,B,H,G,L
BDEFGHIK,D,F,E,K,B,H,G,I
BDEFGHIJ,D,F,H,I,B,J,G,E
BCGHIJKL,C,G,H,K,B,I,J,L
BCFHIJKL,C,F,H,K,B,I,J,L
BCFGIJKL,C,F,I,K,B,J,G,L
BCFGHJKL,C,F,H,K,B,J,G,L
BCFGHIKL,C,F,H,K,B,I,G,L
BCFGHIJL,C,F,H,I,B,J,G,L
BCFGHIJK,C,F,H,K,B,J,G,I
BCEHIJKL,C,H,E,K,B,I,J,L
BCEGIJKL,C,G,E,K,B,I,J,L
BCEGHJKL,C,G,E,K,B,H,J,L
BCEGHIKL,C,H,E,K,B,I,G,L
BCEGHIJL,C,G,E,I,B,H,J,L
BCEGHIJK,C,G,E,K,B,H,J,I
BCEFIJKL,C,F,E,K,B,I,J,L
BCEFHJKL,C,F,E,K,B,H,J,L
BCEFHIKL,C,F,E,K,B,H,I,L
BCEFHIJL,C,F,E,I,B,H,J,L
BCEFHIJK,C,F,E,K,B,H,J,I
BCEFGJKL,C,F,E,K,B,J,G,L
BCEFGIKL,C,F,E,K,B,I,G,L
BCEFGIJL,C,F,E,I,B,J,G,L
BCEFGIJK,C,F,E,K,B,J,G,I
BCEFGHKL,C,F,E,K,B,H,G,L
BCEFGHJL,C,F,H,E,B,J,G,L
BCEFGHJK,C,F,H,K,B,J,G,E
BCEFGHIL,C,F,E,I,B,H,G,L
BCEFGHIK,C,F,E,K,B,H,G,I
BCEFGHIJ,C,F,H,I,B,J,G,E
BCDHIJKL,C,D,H,K,B,I,J,L
BCDGIJKL,C,D,I,K,B,J,G,L
BCDGHJKL,C,D,H,K,B,J,G,L
BCDGHIKL,C,D,H,K,B,I,G,L
BCDGHIJL,C,D,H,I,B,J,G,L
BCDGHIJK,C,D,H,K,B,J,G,I
BCDFIJKL,D,F,C,K,B,I,J,L
BCDFHJKL,D,F,C,K,B,H,J,L
BCDFHIKL,D,F,C,K,B,H,I,L
BCDFHIJL,D,F,C,I,B,H,J,L
BCDFHIJK,D,F,C,K,B,H,J,I
BCDFGJKL,D,F,C,K,B,J,G,L
BCDFGIKL,D,F,C,K,B,I,G,L
BCDFGIJL,D,F,C,I,B,J,G,L
BCDFGIJK,D,F,C,K,B,J,G,I
BCDFGHKL,D,F,C,K,B,H,G,L
BCDFGHJL,D,F,C,J,B,H,G,L
BCDFGHJK,C,F,H,K,B,J,G,D
BCDFGHIL,D,F,C,I,B,H,G,L
BCDFGHIK,D,F,C,K,B,H,G,I
BCDFGHIJ,C,F,H,I,B,J,G,D
BCDEIJKL,C,D,E,K,B,I,J,L
BCDEHJKL,C,D,E,K,B,H,J,L
BCDEHIKL,C,D,E,K,B,H,I,L
BCDEHIJL,C,D,E,I,B,H,J,L
BCDEHIJK,C,D,E,K,B,H,J,I
BCDEGJKL,C,D,E,K,B,J,G,L
BCDEGIKL,C,D,E,K,B,I,G,L
BCDEGIJL,C,D,E,I,B,J,G,L
BCDEGIJK,C,D,E,K,B,J,G,I
BCDEGHKL,C,D,E,K,B,H,G,L
BCDEGHJL,C,D,H,E,B,J,G,L
BCDEGHJK,C,D,H,K,B,J,G,E
BCDEGHIL,C,D,E,I,B,H,G,L
BCDEGHIK,C,D,E,K,B,H,G,I
BCDEGHIJ,C,D,H,I,B,J,G,E
BCDEFJKL,D,F,C,K,B,E,J,L
BCDEFIKL,D,F,C,K,B,I,E,L
BCDEFIJL,D,F,C,I,B,E,J,L
BCDEFIJK,D,F,C,K,B,E,J,I
BCDEFHKL,D,F,C,K,B,H,E,L
BCDEFHJL,D,F,C,E,B,H,J,L
BCDEFHJK,D,F,C,K,B,H,J,E
BCDEFHIL,D,F,C,I,B,H,E,L
BCDEFHIK,D,F,C,K,B,H,E,I
BCDEFHIJ,D,F,C,I,B,H,J,E
BCDEFGKL,D,F,C,K,B,E,G,L
BCDEFGJL,D,F,C,E,B,J,G,L
BCDEFGJK,D,F,C,K,B,J,G,E
BCDEFGIL,D,F,C,I,B,E,G,L
BCDEFGIK,D,F,C,K,B,E,G,I
BCDEFGIJ,D,F,C,I,B,J,G,E
BCDEFGHL,D,F,C,E,B,H,G,L
BCDEFGHK,D,F,C,K,B,H,G,E
BCDEFGHJ,C,F,H,E,B,J,G,D
BCDEFGHI,D,F,C,I,B,H,G,E
AFGHIJKL,F,G,H,K,I,A,J,L
AEGHIJKL,A,G,E,K,I,H,J,L
AEFHIJKL,F,H,E,K,I,A,J,L
AEFGIJKL,F,G,E,K,I,A,J,L
AEFGHJKL,F,H,E,K,J,A,G,L
AEFGHIKL,F,H,E,K,I,A,G,L
AEFGHIJL,F,H,E,I,J,A,G,L
AEFGHIJK,F,H,E,K,J,A,G,I
ADGHIJKL,D,G,H,K,I,A,J,L
ADFHIJKL,D,F,H,K,I,A,J,L
ADFGIJKL,D,F,I,K,J,A,G,L
ADFGHJKL,D,F,H,K,J,A,G,L
ADFGHIKL,D,F,H,K,I,A,G,L
ADFGHIJL,D,F,H,I,J,A,G,L
ADFGHIJK,D,F,H,K,J,A,G,I
ADEHIJKL,D,H,E,K,I,A,J,L
ADEGIJKL,D,G,E,K,I,A,J,L
ADEGHJKL,D,H,E,K,J,A,G,L
ADEGHIKL,D,H,E,K,I,A,G,L
ADEGHIJL,D,H,E,I,J,A,G,L
ADEGHIJK,D,H,E,K,J,A,G,I
ADEFIJKL,D,F,E,K,I,A,J,L
ADEFHJKL,D,F,H,K,E,A,J,L
ADEFHIKL,D,F,H,K,I,A,E,L
ADEFHIJL,D,F,H,I,E,A,J,L
ADEFHIJK,D,F,H,K,E,A,J,I
ADEFGJKL,D,F,E,K,J,A,G,L
ADEFGIKL,D,F,E,K,I,A,G,L
ADEFGIJL,D,F,E,I,J,A,G,L
ADEFGIJK,D,F,E,K,J,A,G,I
ADEFGHKL,D,F,H,K,E,A,G,L
ADEFGHJL,D,F,H,E,J,A,G,L
ADEFGHJK,D,F,H,K,J,A,G,E
ADEFGHIL,D,F,H,I,E,A,G,L
ADEFGHIK,D,F,H,K,E,A,G,I
ADEFGHIJ,D,F,H,I,J,A,G,E
ACGHIJKL,C,G,H,K,I,A,J,L
ACFHIJKL,C,F,H,K,I,A,J,L
ACFGIJKL,C,F,I,K,J,A,G,L
ACFGHJKL,C,F,H,K,J,A,G,L
ACFGHIKL,C,F,H,K,I,A,G,L
ACFGHIJL,C,F,H,I,J,A,G,L
ACFGHIJK,C,F,H,K,J,A,G,I
ACEHIJKL,C,H,E,K,I,A,J,L
ACEGIJKL,C,G,E,K,I,A,J,L
ACEGHJKL,C,H,E,K,J,A,G,L
ACEGHIKL,C,H,E,K,I,A,G,L
ACEGHIJL,C,H,E,I,J,A,G,L
ACEGHIJK,C,H,E,K,J,A,G,I
ACEFIJKL,C,F,E,K,I,A,J,L
ACEFHJKL,C,F,H,K,E,A,J,L
ACEFHIKL,C,F,H,K,I,A,E,L
ACEFHIJL,C,F,H,I,E,A,J,L
ACEFHIJK,C,F,H,K,E,A,J,I
ACEFGJKL,C,F,E,K,J,A,G,L
ACEFGIKL,C,F,E,K,I,A,G,L
ACEFGIJL,C,F,E,I,J,A,G,L
ACEFGIJK,C,F,E,K,J,A,G,I
ACEFGHKL,C,F,H,K,E,A,G,L
ACEFGHJL,C,F,H,E,J,A,G,L
ACEFGHJK,C,F,H,K,J,A,G,E
ACEFGHIL,C,F,H,I,E,A,G,L
ACEFGHIK,C,F,H,K,E,A,G,I
ACEFGHIJ,C,F,H,I,J,A,G,E
ACDHIJKL,C,D,H,K,I,A,J,L
ACDGIJKL,C,D,I,K,J,A,G,L
ACDGHJKL,C,D,H,K,J,A,G,L
ACDGHIKL,C,D,H,K,I,A,G,L
ACDGHIJL,C,D,H,I,J,A,G,L
ACDGHIJK,C,D,H,K,J,A,G,I
ACDFIJKL,D,F,C,K,I,A,J,L
ACDFHJKL,C,D,H,K,F,A,J,L
ACDFHIKL,C,D,H,K,I,A,F,L
ACDFHIJL,C,D,H,I,F,A,J,L
ACDFHIJK,C,D,H,K,F,A,J,I
ACDFGJKL,D,F,C,K,J,A,G,L
ACDFGIKL,D,F,C,K,I,A,G,L
ACDFGIJL,D,F,C,I,J,A,G,L
ACDFGIJK,D,F,C,K,J,A,G,I
ACDFGHKL,C,D,H,K,F,A,G,L
ACDFGHJL,D,F,C,H,J,A,G,L
ACDFGHJK,C,F,H,K,J,A,G,D
ACDFGHIL,C,D,H,I,F,A,G,L
ACDFGHIK,C,D,H,K,F,A,G,I
ACDFGHIJ,C,F,H,I,J,A,G,D
ACDEIJKL,C,D,E,K,I,A,J,L
ACDEHJKL,C,D,H,K,E,A,J,L
ACDEHIKL,C,D,H,K,I,A,E,L
ACDEHIJL,C,D,H,I,E,A,J,L
ACDEHIJK,C,D,H,K,E,A,J,I
ACDEGJKL,C,D,E,K,J,A,G,L
ACDEGIKL,C,D,E,K,I,A,G,L
ACDEGIJL,C,D,E,I,J,A,G,L
ACDEGIJK,C,D,E,K,J,A,G,I
ACDEGHKL,C,D,H,K,E,A,G,L
ACDEGHJL,C,D,H,E,J,A,G,L
ACDEGHJK,C,D,H,K,J,A,G,E
ACDEGHIL,C,D,H,I,E,A,G,L
ACDEGHIK,C,D,H,K,E,A,G,I
ACDEGHIJ,C,D,H,I,J,A,G,E
ACDEFJKL,D,F,C,K,E,A,J,L
ACDEFIKL,D,F,C,K,I,A,E,L
ACDEFIJL,D,F,C,I,E,A,J,L
ACDEFIJK,D,F,C,K,E,A,J,I
ACDEFHKL,C,D,H,K,F,A,E,L
ACDEFHJL,C,D,H,E,F,A,J,L
ACDEFHJK,C,F,H,K,E,A,J,D
ACDEFHIL,C,D,H,I,F,A,E,L
ACDEFHIK,C,D,H,K,F,A,E,I
ACDEFHIJ,C,F,H,I,E,A,J,D
ACDEFGKL,D,F,C,K,E,A,G,L
ACDEFGJL,D,F,C,E,J,A,G,L
ACDEFGJK,D,F,C,K,J,A,G,E
ACDEFGIL,D,F,C,I,E,A,G,L
ACDEFGIK,D,F,C,K,E,A,G,I
ACDEFGIJ,D,F,C,I,J,A,G,E
ACDEFGHL,C,D,H,E,F,A,G,L
ACDEFGHK,C,F,H,K,E,A,G,D
ACDEFGHJ,C,F,H,E,J,A,G,D
ACDEFGHI,C,F,H,I,E,A,G,D
ABGHIJKL,A,G,H,K,B,I,J,L
ABFHIJKL,A,F,H,K,B,I,J,L
ABFGIJKL,F,G,I,K,B,A,J,L
ABFGHJKL,F,G,H,K,B,A,J,L
ABFGHIKL,A,F,H,K,B,I,G,L
ABFGHIJL,F,G,H,I,B,A,J,L
ABFGHIJK,F,G,H,K,B,A,J,I
ABEHIJKL,A,H,E,K,B,I,J,L
ABEGIJKL,A,G,E,K,B,I,J,L
ABEGHJKL,A,G,E,K,B,H,J,L
ABEGHIKL,A,H,E,K,B,I,G,L
ABEGHIJL,A,G,E,I,B,H,J,L
ABEGHIJK,A,G,E,K,B,H,J,I
ABEFIJKL,A,F,E,K,B,I,J,L
ABEFHJKL,F,H,E,K,B,A,J,L
ABEFHIKL,F,H,E,K,B,A,I,L
ABEFHIJL,F,H,E,I,B,A,J,L
ABEFHIJK,F,H,E,K,B,A,J,I
ABEFGJKL,F,G,E,K,B,A,J,L
ABEFGIKL,A,F,E,K,B,I,G,L
ABEFGIJL,F,G,E,I,B,A,J,L
ABEFGIJK,F,G,E,K,B,A,J,I
ABEFGHKL,F,H,E,K,B,A,G,L
ABEFGHJL,F,G,H,E,B,A,J,L
ABEFGHJK,F,G,H,K,B,A,J,E
ABEFGHIL,F,H,E,I,B,A,G,L
ABEFGHIK,F,H,E,K,B,A,G,I
ABEFGHIJ,F,G,H,I,B,A,J,E
ABDHIJKL,D,H,I,K,B,A,J,L
ABDGIJKL,D,G,I,K,B,A,J,L
ABDGHJKL,D,G,H,K,B,A,J,L
ABDGHIKL,D,H,I,K,B,A,G,L
ABDGHIJL,D,G,H,I,B,A,J,L
ABDGHIJK,D,G,H,K,B,A,J,I
ABDFIJKL,D,F,I,K,B,A,J,L
ABDFHJKL,D,F,H,K,B,A,J,L
ABDFHIKL,D,F,H,K,B,A,I,L
ABDFHIJL,D,F,H,I,B,A,J,L
ABDFHIJK,D,F,H,K,B,A,J,I
ABDFGJKL,D,G,F,K,B,A,J,L
ABDFGIKL,D,F,I,K,B,A,G,L
ABDFGIJL,D,G,F,I,B,A,J,L
ABDFGIJK,D,G,F,K,B,A,J,I
ABDFGHKL,D,F,H,K,B,A,G,L
ABDFGHJL,D,F,H,J,B,A,G,L
ABDFGHJK,D,F,H,K,B,A,G,J
ABDFGHIL,D,F,H,I,B,A,G,L
ABDFGHIK,D,F,H,K,B,A,G,I
ABDFGHIJ,D,F,H,J,B,A,G,I
ABDEIJKL,A,D,E,K,B,I,J,L
ABDEHJKL,D,H,E,K,B,A,J,L
ABDEHIKL,D,H,E,K,B,A,I,L
ABDEHIJL,D,H,E,I,B,A,J,L
ABDEHIJK,D,H,E,K,B,A,J,I
ABDEGJKL,D,G,E,K,B,A,J,L
ABDEGIKL,A,D,E,K,B,I,G,L
ABDEGIJL,D,G,E,I,B,A,J,L
ABDEGIJK,D,G,E,K,B,A,J,I
ABDEGHKL,D,H,E,K,B,A,G,L
ABDEGHJL,D,G,H,E,B,A,J,L
ABDEGHJK,D,G,H,K,B,A,J,E
ABDEGHIL,D,H,E,I,B,A,G,L
ABDEGHIK,D,H,E,K,B,A,G,I
ABDEGHIJ,D,G,H,I,B,A,J,E
ABDEFJKL,D,F,E,K,B,A,J,L
ABDEFIKL,D,F,E,K,B,A,I,L
ABDEFIJL,D,F,E,I,B,A,J,L
ABDEFIJK,D,F,E,K,B,A,J,I
ABDEFHKL,D,F,H,K,B,A,E,L
ABDEFHJL,D,F,H,E,B,A,J,L
ABDEFHJK,D,F,H,K,B,A,J,E
ABDEFHIL,D,F,H,I,B,A,E,L
ABDEFHIK,D,F,H,K,B,A,E,I
ABDEFHIJ,D,F,H,I,B,A,J,E
ABDEFGKL,D,F,E,K,B,A,G,L
ABDEFGJL,D,F,E,J,B,A,G,L
ABDEFGJK,D,F,E,K,B,A,G,J
ABDEFGIL,D,F,E,I,B,A,G,L
ABDEFGIK,D,F,E,K,B,A,G,I
ABDEFGIJ,D,F,E,J,B,A,G,I
ABDEFGHL,D,F,H,E,B,A,G,L
ABDEFGHK,D,F,H,K,B,A,G,E
ABDEFGHJ,D,F,H,J,B,A,G,E
ABDEFGHI,D,F,H,I,B,A,G,E
ABCHIJKL,C,H,I,K,B,A,J,L
ABCGIJKL,C,G,I,K,B,A,J,L
ABCGHJKL,C,G,H,K,B,A,J,L
ABCGHIKL,C,H,I,K,B,A,G,L
ABCGHIJL,C,G,H,I,B,A,J,L
ABCGHIJK,C,G,H,K,B,A,J,I
ABCFIJKL,C,F,I,K,B,A,J,L
ABCFHJKL,C,F,H,K,B,A,J,L
ABCFHIKL,C,F,H,K,B,A,I,L
ABCFHIJL,C,F,H,I,B,A,J,L
ABCFHIJK,C,F,H,K,B,A,J,I
ABCFGJKL,F,G,C,K,B,A,J,L
ABCFGIKL,C,F,I,K,B,A,G,L
ABCFGIJL,F,G,C,I,B,A,J,L
ABCFGIJK,F,G,C,K,B,A,J,I
ABCFGHKL,C,F,H,K,B,A,G,L
ABCFGHJL,C,F,H,J,B,A,G,L
ABCFGHJK,C,F,H,K,B,A,G,J
ABCFGHIL,C,F,H,I,B,A,G,L
ABCFGHIK,C,F,H,K,B,A,G,I
ABCFGHIJ,C,F,H,J,B,A,G,I
ABCEIJKL,A,C,E,K,B,I,J,L
ABCEHJKL,C,H,E,K,B,A,J,L
ABCEHIKL,C,H,E,K,B,A,I,L
ABCEHIJL,C,H,E,I,B,A,J,L
ABCEHIJK,C,H,E,K,B,A,J,I
ABCEGJKL,C,G,E,K,B,A,J,L
ABCEGIKL,A,C,E,K,B,I,G,L
ABCEGIJL,C,G,E,I,B,A,J,L
ABCEGIJK,C,G,E,K,B,A,J,I
ABCEGHKL,C,H,E,K,B,A,G,L
ABCEGHJL,C,G,H,E,B,A,J,L
ABCEGHJK,C,G,H,K,B,A,J,E
ABCEGHIL,C,H,E,I,B,A,G,L
ABCEGHIK,C,H,E,K,B,A,G,I
ABCEGHIJ,C,G,H,I,B,A,J,E
ABCEFJKL,C,F,E,K,B,A,J,L
ABCEFIKL,C,F,E,K,B,A,I,L
ABCEFIJL,C,F,E,I,B,A,J,L
ABCEFIJK,C,F,E,K,B,A,J,I
ABCEFHKL,C,F,H,K,B,A,E,L
ABCEFHJL,C,F,H,E,B,A,J,L
ABCEFHJK,C,F,H,K,B,A,J,E
ABCEFHIL,C,F,H,I,B,A,E,L
ABCEFHIK,C,F,H,K,B,A,E,I
ABCEFHIJ,C,F,H,I,B,A,J,E
ABCEFGKL,C,F,E,K,B,A,G,L
ABCEFGJL,C,F,E,J,B,A,G,L
ABCEFGJK,C,F,E,K,B,A,G,J
ABCEFGIL,C,F,E,I,B,A,G,L
ABCEFGIK,C,F,E,K,B,A,G,I
ABCEFGIJ,C,F,E,J,B,A,G,I
ABCEFGHL,C,F,H,E,B,A,G,L
ABCEFGHK,C,F,H,K,B,A,G,E
ABCEFGHJ,C,F,H,J,B,A,G,E
ABCEFGHI,C,F,H,I,B,A,G,E
ABCDIJKL,C,D,I,K,B,A,J,L
ABCDHJKL,C,D,H,K,B,A,J,L
ABCDHIKL,C,D,H,K,B,A,I,L
ABCDHIJL,C,D,H,I,B,A,J,L
ABCDHIJK,C,D,H,K,B,A,J,I
ABCDGJKL,D,G,C,K,B,A,J,L
ABCDGIKL,C,D,I,K,B,A,G,L
ABCDGIJL,D,G,C,I,B,A,J,L
ABCDGIJK,D,G,C,K,B,A,J,I
ABCDGHKL,C,D,H,K,B,A,G,L
ABCDGHJL,C,D,H,J,B,A,G,L
ABCDGHJK,C,D,H,K,B,A,G,J
ABCDGHIL,C,D,H,I,B,A,G,L
ABCDGHIK,C,D,H,K,B,A,G,I
ABCDGHIJ,C,D,H,J,B,A,G,I
ABCDFJKL,D,F,C,K,B,A,J,L
ABCDFIKL,D,F,C,K,B,A,I,L
ABCDFIJL,D,F,C,I,B,A,J,L
ABCDFIJK,D,F,C,K,B,A,J,I
ABCDFHKL,C,D,H,K,B,A,F,L
ABCDFHJL,D,F,C,H,B,A,J,L
ABCDFHJK,C,F,H,K,B,A,J,D
ABCDFHIL,C,D,H,I,B,A,F,L
ABCDFHIK,C,D,H,K,B,A,F,I
ABCDFHIJ,C,F,H,I,B,A,J,D
ABCDFGKL,D,F,C,K,B,A,G,L
ABCDFGJL,D,F,C,J,B,A,G,L
ABCDFGJK,D,F,C,K,B,A,G,J
ABCDFGIL,D,F,C,I,B,A,G,L
ABCDFGIK,D,F,C,K,B,A,G,I
ABCDFGIJ,D,F,C,J,B,A,G,I
ABCDFGHL,D,F,C,H,B,A,G,L
ABCDFGHK,C,F,H,K,B,A,G,D
ABCDFGHJ,C,F,H,J,B,A,G,D
ABCDFGHI,C,F,H,I,B,A,G,D
ABCDEJKL,C,D,E,K,B,A,J,L
ABCDEIKL,C,D,E,K,B,A,I,L
ABCDEIJL,C,D,E,I,B,A,J,L
ABCDEIJK,C,D,E,K,B,A,J,I
ABCDEHKL,C,D,H,K,B,A,E,L
ABCDEHJL,C,D,H,E,B,A,J,L
ABCDEHJK,C,D,H,K,B,A,J,E
ABCDEHIL,C,D,H,I,B,A,E,L
ABCDEHIK,C,D,H,K,B,A,E,I
ABCDEHIJ,C,D,H,I,B,A,J,E
ABCDEGKL,C,D,E,K,B,A,G,L
ABCDEGJL,C,D,E,J,B,A,G,L
ABCDEGJK,C,D,E,K,B,A,G,J
ABCDEGIL,C,D,E,I,B,A,G,L
ABCDEGIK,C,D,E,K,B,A,G,I
ABCDEGIJ,C,D,E,J,B,A,G,I
ABCDEGHL,C,D,H,E,B,A,G,L
ABCDEGHK,C,D,H,K,B,A,G,E
ABCDEGHJ,C,D,H,J,B,A,G,E
ABCDEGHI,C,D,H,I,B,A,G,E
ABCDEFKL,D,F,C,K,B,A,E,L
ABCDEFJL,D,F,C,E,B,A,J,L
ABCDEFJK,D,F,C,K,B,A,J,E
ABCDEFIL,D,F,C,I,B,A,E,L
ABCDEFIK,D,F,C,K,B,A,E,I
ABCDEFIJ,D,F,C,I,B,A,J,E
ABCDEFHL,C,D,H,E,B,A,F,L
ABCDEFHK,C,F,H,K,B,A,E,D
ABCDEFHJ,C,F,H,E,B,A,J,D
ABCDEFHI,C,F,H,I,B,A,E,D
ABCDEFGL,D,F,C,E,B,A,G,L
ABCDEFGK,D,F,C,K,B,A,G,E
ABCDEFGJ,D,F,C,J,B,A,G,E
ABCDEFGI,D,F,C,I,B,A,G,E
ABCDEFGH,C,F,H,E,B,A,G,D
