bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
29351,17552,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,116,15,,,,,,,3365,6,,,,,,,,,2932,29,,,160,53,114,3,,,,,110,21,,,406,38,,,,,,,,,,,,,,,,,,,,,301,7,,,,,,,,,,,22,31,18,5,,,,,,,,,,,,,,,,,180,40,,,,,,,,,,,,,20,60,,,,,,,,,,,,,,,212,3,82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,35,,,,,,,,,,,,,,,,,,,,,,,,,635,9,,,,,,,,,,,,,7670,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,43,,,,,,,,,,,,,,,,,,,,,,,,,655,2,,,,,,,,,318,6,,,,,,,,,,,,,,,,,,,,,,,58,55
25821,17533,12,,,,,,,,,,,450,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083,12,,,,,,,,,991,90,10,10,1602,9,,,,,,,,,,,3087,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,5,,,,,,,,,,,,,,,,,,,,,,,5354,1
13,15382,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,,,,,,,91,18,,,5,9,32,25,1360,17,,,,,27,13,,,7088,12,5,19,1616,8,,,10,14,,,30,42,8,2,658,18,,,,,,,,,,,,,,,,,,,,,639,3,,,,,,,,,,,115,13,,,7,1,,,,,,,,,,,,,390,26,811,13,,,,,,,,,,,,,59,13,,,,,,,,,,,,,,,,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,12,13,5,63,10,,,,,,,,,,,,,,,,,,,,,157,25,,,,,325,15,,,,,20,10,561,19,,,,,,,,,,,,,,,,,,,,,22,14,35,9,,,,,47,11,,,,,190,9,,,,,,,,,,,,,,,,,,,16,25,,,,,,,,,,,,,,,29,15,,,,,,,,,,,,,,,,,,,,,,,372,19
320,15181,14,,,,,,,,,,,83,8,,,,,10,5,,,,,,,,,5,1,,,73,10,,,,,,,,,12,3,,,,,25,20,,,,,,,108,16,,,10,5,50,16,1035,21,,,,,105,6,,,6708,14,19,2,844,21,24,12,,,72,14,200,7,,,1445,11,,,,,,,,,,,7,2,,,33,3,,,,,72,23,95,5,,,,,,,,,185,9,,,,,,,447,4,,,,,,,5,8,249,38,358,25,,,,,7,5,,,,,5,3,34,29,,,,,2,8,,,,,,,,,20,10,11,11,,,,,,,,,4,7,,,,,82,3,,,,,,,,,,,,,703,9,5,12,39,19,,,,,,,4,5,,,,,,,,,,,,,415,13,,,,,359,13,,,,,72,8,584,17,,,,,,,,,,,,,2,3,,,,,,,64,8,61,5,,,,,,,,,,,73,28,,,,,13,5,,,3,4,,,26,12,,,,,23,17,,,5,1,17,26,,,,,,,,,36,14,,,,,,,,,,,2,11,,,,,,,,,,,231,25
811,15115,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,4,,,,,,,13,41,,,,,,,1515,15,,,,,,,,,3986,20,4,25,2243,5,,,,,,,104,23,,,1414,12,,,,,,,,,,,,,6,5,,,,,,,405,6,,,,,,,,,,,93,16,,,,,,,,,,,,,,,,,90,73,372,24,,,,,,,,,,,,,221,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,1,,,8,39,,,,,,,,,,,,,,,,,,,,,357,15,,,,,432,11,,,,,148,4,277,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885,7
2425,14179,16,,,,,,,,,,,66,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,13,31,,,,,,,118,14,,,,,73,11,1326,18,,,,,,,,,3653,22,9,13,1413,12,,,12,11,129,9,132,13,,,763,17,,,,,,,,,,,,,,,,,,,,,97,15,,,,,,,,,,,97,15,,,,,,,,,,,,,,,,,780,13,429,20,,,,,,,,,,,,,22,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,24,,,,,,,,,,,,,,,,,,,,,,,,,772,7,,,,,844,5,,,,,93,6,2459,5,,,,,,,,,,,,,,,,,,,,,62,9,,,,,,,,,,,,,185,10,,,,,9,6,,,,,,,,,,,,,,,,,,,223,5,,,,,,,,,25,17,,,,,,,,,,,,,,,,,,,,,,,156,29
1294,13486,17,,,,,,,,,,,38,15,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,15,,,,,,,,,,,,,65,12,830,27,,,,,,,,,7459,11,8,14,754,23,,,14,8,74,13,168,10,,,1573,8,,,,,,,,,,,,,10,3,,,,,,,144,10,,,,,,,,,,,92,17,,,,,,,25,15,,,,,10,2,,,943,10,,,,,,,,,,,,,,,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,,,,,,,,,,,,,310,17,,,37,20,,,,,,,10,2,,,,,,,,,,,,,38,48,,,,,,,,,,,,,373,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,12,,,,,,,,,,,,,24,13,,,,,26,16,,,,,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,28
50381,12767,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,30,782,30,,,,,,,,,9737,9,,,450,30,,,,,43,18,144,12,,,247,49,,,,,,,,,,,,,,,,,,,,,105,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,17,84,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,11874,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25,,,,,,,45,24,,,9,6,35,24,629,35,,,,,38,10,,,542,140,8,16,561,26,50,5,,,,,105,22,,,448,33,,,,,,,,,,,,,,,,,,,,,53,27,,,,,55,11,,,,,,,,,,,,,,,,,,,,,,,428,24,2094,9,,,,,,,,,,,,,501,2,,,,,,,,,,,,,,,,,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,21,,,,,,,,,,,,,,,,,,,,,,,,,476,11,,,,,180,26,,,,,,,1222,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,1,,,,,,,,,,,51,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066,2
181,11782,20,7,5,,,,,,,,,76,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,,,,,,,,,,,,,73,10,1199,19,,,,,,,,,6271,16,,,1340,15,,,13,10,,,57,30,,,634,20,,,,,,,,,,,,,,,,,,,,,108,12,,,,,157,6,,,,,63,22,,,,,,,,,,,,,,,,,249,37,111,50,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,26,,,29,24,,,,,,,,,,,,,,,,,,,,,155,26,,,,,125,31,,,,,,,461,21,,,,,,,,,,,,,,,,,102,3,,,,,,,,,2,3,,,,,,,143,15,,,,,,,,,,,,,10,16,,,,,32,13,,,,,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,35
5072,11459,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,,,,,199,2,,,,,,,,,14,29,,,,,,,,,,,,,108,8,396,50,,,,,,,,,7495,10,7,17,84,73,,,,,45,17,,,,,267,47,,,,,,,,,,,,,,,50,2,,,,,,,904,2,,,,,,,,,,,,,,,,,150,9,,,,,,,,,95,72,479,19,,,,,,,,,,,,,39,24,,,,,,,,,,,,,,,,,,,,,,,38,1,,,52,2,,,417,2,75,4,,,,,,,,,,,,,37,67,7,9,101,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,57,,,,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,,,,,38,40,,,,,177,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,61
2136,10364,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,7,,,,,,,,,,,,,,,,,,,,,,,259,7,,,,,,,2195,9,,,,,,,,,3519,24,4,27,191,46,,,,,817,4,,,,,325,43,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10,,,,,142,12,9,8,,,,,,,,,,,,,,,406,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,881,7,,,,,,,,,,,,,,,,,,,,,,,,,766,8,,,,,,,,,,,,,78,64,,,,,,,,,,,,,,,,,10,7,,,97,5,,,,,8,2,,,2,3,,,328,7,,,,,,,,,,,,,,,,,,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,50
3886,9407,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,6,,,,,,,,,,,,,,,13,32,,,,,,,156,10,,,,,59,14,2465,8,,,,,,,,,1904,50,10,9,377,36,20,13,9,15,99,11,126,14,,,373,41,,,,,5,3,,,,,,,,,,,,,,,23,38,,,,,,,,,,,419,3,,,,,,,,,,,,,,,,,1019,8,111,51,,,,,,,,,,,,,45,21,,,,,,,9,2,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,37,3,16,55,13,,,,,,,,,,,,,,,,,,,,,175,23,,,,,835,6,,,,,151,3,160,42,,,,,,,,,,,,,,,,,,,,,48,10,12,14,,,,,260,3,,,,,67,29,,,,,,,,,,,,,,,,,,,22,20,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,47
4192,7760,24,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,,,,,,,48,23,,,,,40,21,987,22,,,,,,,,,3624,23,,,184,48,,,,,,,28,43,,,255,48,,,,,,,,,,,,,7,4,,,,,,,20,44,,,,,,,,,,,57,23,,,,,,,,,,,,,,,,,493,21,423,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,30,,,,,,,,,,,,,,,,,,,,,,,,,100,32,,,,,,,,,,,,,1103,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,30,,,,,,,,,,,,,,,,,,,,,,,,,36,17,,,,,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,98,39
822,7556,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12,,,,,,,,,,,,,,,27,17,,,,,,,85,19,,,12,4,36,22,960,23,,,,,16,14,,,2450,35,9,11,446,31,,,,,,,115,20,,,421,37,,,,,,,,,,,,,,,,,,,,,40,31,,,,,,,,,,,98,14,,,,,,,,,,,,,,,,,376,28,286,28,,,,,,,,,,,,,51,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,18,11,7,42,18,,,,,,,,,,,,,,,,,,,,,231,21,,,,,164,27,,,,,,,816,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,18,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,,,,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,383,18
